academic,대학의
accommodation,숙소, 숙박시설; 편의; 수용
ad,광고
addition,추가, 덧셈; 부가물
admire,감탄하다, 존경하다, 칭찬하다
admit,승인하다
advanced,고등의
advise,조언하다
afford,여유가 있다
aged,나이먹은
agent,대리인
agreement,동의
ahead,나아가
aim,가늠
alarm,경보
alcoholic,알코올성의
amazed,기절초풍
ambition,대망
ambitious,대망이 있는
annoy,당황케하다
annoyed,시달리다
annoying,거리
apologize,사죄하다
appointment,배정
arrest,구류
assignment,배정
assist,돕다
attraction,끄는 힘
authority,권능
aware,깨닫고
backwards,거꾸로의
balance,균형을 잡다
ban,결혼 예고
basic,근본의
basis,근간
battery,구타
bend,결삭
block,모탕
bomb,대성공-폭격하다
border,국경, 경계; 가장자리
bother,귀찮게하다
breath,선들거림
breathe,살아있다
breathing,동경
bury,몰두하게하다
campaign,작전행동
candidate,지원자
captain,거물
central,미주
ceremony,의례
chain,고리줄
chapter,분회
cheerful,기분 좋은
childhood,아동기
clause,(문법) 절; (법률·계약) 조항
click,딸깍 소리가 나다
client,고객, 의뢰인
cloth,걸레
clue,퍼즐의 열쇠
coal,석탄
coin,가짜돈을 만들다
commercial,광고 방송
commit,꼼짝 못할 처지에 두다
comparison,대조
competitive,경재의
competitor,경쟁상대
complaint,고소
concentrate,농축액
conclude,결론을 내리다
conclusion,결말
confident,든든하다
confirm,견진례를 베풀다
confuse,당황하게 하다
confused,곤혹스럽다
consist,되어있다
consume,다 먹어버리다
contact,교섭하고 있는 사람
container,철통
content,개념의 내용
continuous,그칠줄 모르는
contrast,대조
convenient,에 가까운
convince,납득시키다
costume,숙녀복
cottage,단층집
court,궁정
covered,덮개를 씌운
cream,더깽이가 생기다
cruel,모질다
currency,유통
current,기류
currently,목하
decade,10개
decorate,수식하다
definition,선명도
deliver,교부하다
departure,발차
despite,불구하고
destination,목적지
determined,결정된
diagram,도표, 도식, 다이어그램
diamond,금강석
dirt,굴욕을 참다
discount,할인하다
documentary,문서의
doubt,회의
dressed,요리 준비가 된
drum,고동
drunk,고주망태
due,당연할
earthquake,지진
economic,경제상의
educate,교육하다
educated,교육받은
educational,교육상의
effective,유효하다
effectively,실제상
element,고유의 환경
embarrassed,곤혹스럽다
embarrassing,거북하다
emotion,정서
encourage,격려하다
enemy,원수
engaged,교전중인
engineering,공학
entertain,간직하다
entry,기입
environmental,환경예술의
episode,에피소드
equal,과 똑같다
equally,그럼에도 불구하고
eventually,필경에는
excitement,격앙
exhibition,과시
expand,발전시키다
expedition,급속
experienced,경험을 가진
explore,탐구하다
explosion,급증
export,수출품
extra,가외로
fancy,공상
fascinating,흐드러지다
fasten,꽉 달라붙다
favour,은혜
fighting,아귀다툼
financial,금융
fitness,건강함
fixed,고정적
flood,관개하다
fold,개켜지다
folk,사람들
frame,됨직하다
friendship,정교
frighten,겁내다
frightened,겁먹은
frozen,냉동의
fuel,음식물
function,작용
garage,개라지
generous,감칠맛이 있는
gentleman,무직자
ghost,영적인
giant,거인
global,글로벌
goods,물품
graduate,등급을 매기다
grain,알맹이
grateful,감사히 여기는
guilty,죄가 있는
headline,표제
heavily,힘에겨운듯이
highlight,중요사건
hire,대출하다
historic,역사에 남은
horrible,참담하다
horror,무서운것
host,주인
hunt,몰아넣다
hurricane,허리케인 전투기
hurry,급함
identity,독자성
imaginary,가상적
immediate,목하의
immigrant,외래동물
impact,격돌
import,끌어들이다
improvement,개량
indicate,은연중 나타내다
indirect,간접의
indoor,옥내의
indoors,옥내에서
ingredient,성분
injured,상처입은
innocent,결백하다
intend,의도하다
intention,결혼할 의사
invest,돈을 쓰다
involved,깊이 관련된
issue,간행하다
judge,사사
keen,곡성
keyboard,건반
kick,갑자기 되튀다
killing,뇌쇄적인
kiss,굴욕을 당하다
label,라고 부르다
laboratory,실험실
layer,놓는 사람
leading,세력있는
leather,가죽
limit,한도
local,공간의
located,에 위치하여
location,로케이
luxury,비싼 물건
mad,노엽다
mall,런던의
marketing,매매
measure,박자
medium,배양기
mess,어수선하다
mixture,혼방직물
nail,구타하다
narrative,화술
native,미개인
