unstained,더렵혀지지않은
mophead,더벅머리
shag,더부룩하게 하다
doublereed,더블 리드의
doubleclutch,더블 클러치를 밟다
doublefault,더블 폴트하다
doubledate,더블데이트를 하다
cstle,더블린 성
doublebogey,더블보기로 오르다
derby,더비 경마
derbyshire,더비셔
dubbing,더빙
forrarder,더앞으로
bliss,더없는행복
supremely,더없이
aggravator,더욱 악화시키는 것
aggravating,더욱 악화하는
brose,더운물이나밀크를부은오트밀
swelter,더위 먹다
reproachless,더할 나위 없는
unquestionable,더할 나위 없는
fairyland,더할 나위 없이 아름다운 곳
addible,더할 수 있는
exquisite,더할나위 없는
faultless,더할나위 없는
remittent,더했다 덜했다 하는
sufferance,덕분에
sainted,덕이 높은
saintship,덕이 높음
virtuous,덕이 있는
benevolence,덕행
welldoer,덕행자
dunlop,던롭
scuzzy,던적스러운
engulf,던져 넣다
upcast,던져 올리다
upthrow,던져 올림
dart,던지는 창
hurling,던짐
pitching,던짐
deemphasize,덜 강조하다
backlash,덜거덕 거림
coappedout,덜거덕거리는
rumbly,덜거덕거리는
bump,덜거덕거리며나아가다
trembly,덜덜 떠는
burly,덜렁대다
clatteringly,덜리며
cembalo,덜시머
bumpy,덜커덕거리는
ramshackle,덜컥거리는
rattletrap,덜컥거리는
jolt,덜컹거리다
jolty,덜컹거리다
jounce,덜컹거리다
jouncy,덜컹거림
brattle,덜컹덜컹
dumdum,덤덤탄
saltless,덤덤한
harumscarum,덤벙
scatterbrain,덤벙이는
snapperup,덤벼드는 사람
undergrowth,덤불
copsy,덤불 숲이 많은
bushy,덤불같은
bushwhack,덤불을 베어 헤쳐 길을 재자-매복하다
braky,덤불이 우거진
brushy,덤불진
scrub,덤블
dumfries,덤프리스
tipper,덤프차
tipcart,덤프카
dumping,덤핑
antidumping,덤핑 방지의
calefacient,덥게하는
patten,덧나막신
snaggletoothed,덧니의
shutter,덧문
incidentally,덧붙여 말하자면
expletive,덧붙이기의
gusset,덧붙이는 천
affixation,덧붙임
cradle,덧살 댄 낫으로 작물을 베다
summation,덧셈
adder,덧셈하는 사람
overshoe,덧신
transitory,덧없는
volatile,덧없는
evanescence,덧없음
impermanence,덧없음
temporality,덧없음
transiently,덧없이
overclothes,덧옷
overlay,덧장식
grommet,덧테쇠
viny,덩굴 식물의
sarmentose,덩굴 줄기가 있는
clasper,덩굴손
cirrate,덩굴손이 있는
crowberry,덩굴월굴
cranberry,덩굴월귤
rambler,덩굴장미
conglomerate,덩어리 모양으로 모으다
chunky,덩어리가 든
clotty,덩어리가 많은
lump,덩어리로 만들다
nuggety,덩어리진
cloggy,덩어리투성이의
agglomerate,덩이
lubber,덩지 큰 뒤틈바리
clapnet,덫 그물
casing,덮개
hood,덮개
shroud,덮개
hardtop,덮개가 금속제이고 앞창에 중간 기둥이 없는 승용차
uncover,덮개를 벗기다
covering,덮는
veiling,덮어 감추기
obscure,덮어 감추다
hushhush,덮어 두다
imputative,덮어 쓰위진 전가된
overcanopy,덮어 씌우다
enshroud,덮어가리다
cavil,덮어놓고 이의를 내세우다
bescreen,덮어서 숨기다
revetment,덮어씌우기
unsheltered,덮여 있지 않은
clobber,덮치다
stricken,덮친
smattering,데 알고 있는 지식
deneb,데네브
denier,데니르
dennis,데니스
denim,데님
reconduct,데리고 돌아오다
derris,데리스
derrick,데릭 기중기
delilah,데릴라
grapevine,데마
demagogic,데마
demagoguery,데마를 퍼뜨림
demo,데모
demosthenes,데모스테네스
demosthenic,데모스테네스류의
democritus,데모크리토스
devonian,데번기
devonshire,데번셔주
deborah,데보라
thessalonians,데살로니가서
desdemona,데스데모나
deathmask,데스마스트
decigram,데시그램
deciliter,데시리터
decimeter,데시미터
decistere,데시스테르
deciare,데시아르
smatter,데알기
sciolism,데앎
sciolismlist,데앎
davidic,데이브의
daisy,데이지
daisied,데이지가 피어있는
dacron,데이크론
datum,데이터
dataphone,데이터폰
birddogging,데이트 상대를 가로챔
mademoney,데이트할 때 여자가 준비하는 예비금
dayton,데이튼
danegeld,데인세
daimler,데임러
tasmanian,데즈메이니아의
scald,데치다
decare,데카르
descartes,데카르트
cartesian,데카르트의
decameron,데카메론
deccan,데칸  반도
declomycin,데클로마이신
ockerism,데퉁스러운 오스트레일리아 사람
lubberly,데퉁스럽게
deque,덱
deckman,덱맨
dexedrine,덱서드린
dex,덱스
dextran,덱스트런
dextroamphetamine,덱스트로암페타민각성제 및 식욕 억제약으로 씀
denmark,덴마크
dannebrog,덴마크 국기
danish,덴마크 말
andersen,덴마크동화작가
dane,덴마크사람
jespersen,덴마크의 언어
zealand,덴마크최대의 섬
denver,덴버
delawarean,델라웨어주의
delhi,델리
delmarva,델마버
delphi,델포이
delftware,델프 도자기
dengue,뎅그열
crucible,도가니
angelus,도고기도
potter,도공
conduit,도관
athodyd,도관제트
taoism,도교
taoist,도교신자
taoistic,도교의
workbasket,도구 바구니
workbag,도구 주머니
toolshed,도구 창고
implemental,도구가 되는
resurrect,도굴하다
raceway,도그레이스장
dogberry,도그베리
plating,도금
myrtle,도금양
engild,도금하다
piecework,도급일
pottery,도기
potsherd,도기의 파편
wisp,도깨비 불
jackolantern,도깨비불
willothewisp,도깨비불
cocklebur,도꼬마리
securiform,도끼 모양의
axstone,도끼돌남미에서 돌도끼를 만드는 재료
axman,도끼질하는 사람
axhammer,도끼처럼 생긴 메
donau,도나우강
theftproof,도난 방지의
stealage,도난 피해
burglarproof,도난방지의
doughnut,도넛
bagel,도넛형의 굳은 빵
catheter,도뇨관
accession,도달
clique,도당을 이루다
cliquish,도당의
ethicist,도덕가
moralist,도덕가
unmoral,도덕과 관계없는
antinomian,도덕률 폐기론자
antinomianism,도덕률폐기
inofficious,도덕상의 의무를 다하지 않는
amoral,도덕에 관계 없는
nonmoral,도덕에 관계없는
immoral,도덕에 어긋나는
cinemorality,도덕영화
morally,도덕적으로
moraly,도덕적으로
exemplum,도덕적이야기
highblown,도도한
peremptory,도도한
skuagull,도둑 갈매기
thieftaker,도둑 잡는 포리
jaeger,도둑갈매기
thievish,도둑의
stealing,도둑질
thievery,도둑질
purloin,도둑질 하다
emboss,도드라지게 하다
embossment,도드라지게 함
mulberry,도디
recreation,도락
amateurism,도락
fad,도락
dilettantish,도락 기분의
dabbler,도락 삼아 하는 사람
ditch,도랑
sluit,도랑
ditchwater,도랑에 괸 물
dike,도랑을 만들다
ditchdigger,도랑을 파는 사람
magnanimity,도량
calibre,도량
metrology,도량형
cutout,도려내기세공
excavate,도려내다
passable,도로등이 통행할 수 있는
gridiron,도로망
salamander,도롱뇽
bagworm,도롱이
pulley,도르래
dorsay,도르세이
outstep,도를 넘다
unmeeasured,도를 넘친
moralizer,도를 설교하는 사람
joist,도리
template,도리 받이
flail,도리깨
thrash,도리깨질
thrashing,도리깨질
handstaff,도리깻장부
reasonless,도리를 모르는
doric,도리아식의
impropriety,도리에 어긋남
openwork,도림질세공
resupination,도립
lizard,도마뱀
skink,도마뱀
lacertilian,도마뱀 무리의
saurian,도마뱀 무리의
gecko,도마뱀 붙이
deserter,도망자
