abolish,철폐하다
abortion,기형물
absurd,어리석은
abundance,부유
abuse,남용
academy,아카데미아
accelerate,빨라지다
acceptance,수령
accessible,접근하기 쉬운
accordance,조화
accordingly,그에 따라서
accumulate,축적하다
accumulation,누적
accusation,고소
accused,피고인
acquisition,습득
acre,에이커
activation,부대 신설
activist,행동 대원
acute,뾰족하다
adhere,들러붙다
adjacent,인접하는
admission,고백
adolescent,미숙한
adoption,시행일
adverse,역의
advocate,변호인
aesthetic,미술의
aftermath,두번째 거둠
albeit,에도 불구하고
align,일렬로세우다
allegation,주장
allege,단언하다
alliance,동맹자
allocate,배분하다
allocation,배급
amateur,비직업적인
analogy,유추
anchor,힘이되는 것최종 주자
angel,재정적후원자
anonymous,작자불명의
apparatus,장치
appealing,마음을 끄느
applaud,박수갈채하다
appoint,귀속을 정하다
arbitrary,기분내키는대로의
arena,활동장소
array,배열시키다
articulate,또렷하다
ash,양풀푸레나무
aspiration,기음
assassination,암살
assembly,입법의회
assurance,보증
asylum,도피처
atrocity,극악
attain,달성하다
attribute,불어다니는 것
authentic,전정한
availability,쓸모
backup,뒷받침
bail,들손
ballot,투표용지
banner,기
barrel,통 모양의 것-통에 담다
bass,농어
battlefield,싸움터
benchmark,기준점
beneath,못하여
beneficiary,수취인
betray,배반하다
biography,일대기
bishop,비숍
bizarre,괴기한
blade,날붙이
blast,시들게 하다
bleed,돈을 우려내다-찍힌 부분까지도 자른사진
bless,수호하다
boast,뻐기다
boom,급등-진동하다
bounce,되튐
bow,꾸부러지다
breach,깨뜨림
breakdown,붕괴
breakthrough,난국의 타개
breed,번식하다
broadband,광대역
brutal,무도
buck,뛰어오르다
bureaucracy,관료정치
burial,안장
canvas,링의 캔버스 바닥
capitalism,자본주의
capitalist,자본가
cargo,뱃짐
carve,고기를 베다
casino,소별장
casualty,부상자
caution,신중
cemetery,공동묘지
chaos,대혼란
characterize,의 특색이 되다
charter,면허장
chronic,만성적인
chunk,큰 덩어리
circulate,돌다
circulation,대출부수
civic,공민답게
civilian,공민
classification,급수별
cling,달라 붙다
clinical,냉정한
closure,마감
coalition,연립
cognitive,인식력 있는
coincide,동시에 일어나다
collaborate,공동 연구하다
collaboration,공동 연구 등의 성과
collective,공동체
colonial,군체의
columnist,특약기고가
commentary,실황방송
commentator,시사해설자
commodity,일용품
communist,공산주의자
comparable,비슷한
compassion,동정
compel,억지로 복종시키다
compensate,보상하다
competence,언어 능력
competent,요구에 맞는
compile,다른 부호로 번역하다
complement,보충음정
complexity,복잡성
compliance,순종
complication,병발증
comply,따르다
compute,어림하다
concede,부여하다
conceive,라고 생각하다
condemn,나무라다
confer,드리우다
