abnormality,병신
adaptive,적합한
approximation,근사치
categorize,분류하다
causal,원인의
causation,인과관계
characterization,특징 부여
conditional,조건부의
constrain,압박하다
cumulative,누적적
description,서술
descriptive,기술적인
developed,선진의
deviation,벗어남
during,의동안
efficacy,효능
encode,암호화하다
event,큰 사건
exemplify,예시하다
explain,덧붙이기
explanatory,해석상의
fact,일
geographical,지라적인
hierarchical,성직자단
horizontal,수평선
implicit,내재하는
implicitly,넌지시
inconsistent,일치하지 않는
independently,독립하여
inference,추론
initiation,입문
instability,불안정
interested,흥미를 가진
interviewee,인터뷰 당하는사람
interviewer,탐방기자
intrinsic,본래 갖추어진
introduce,끼워넣다
localized,지방적인
locally,장소상으로
meaning,뜻
mediate,중개의
methodological,방법론적
modern,근대적인
modernity,현대성
modernization,근대화
negatively,소극적으로
ok,승인필
optimal,최상의
positively,맹세코
progression,수열
proportional,비례적
quantitative,양적
randomize,무작위화하다
rationality,도리를 알고 있음
reliance,신뢰
resistant,레지스탕스의 일원
restrictive,옹졸
sensory,지각의
should,일 것이다
similar,비슷한
societal,사회적인
statistically,통계항목
stimulation,진흥
substantive,독립의
terminology,술어
unclear,아슴하다
unrelated,언급되지 않은
unstable,변하기쉬운
validate,비준하다
variance,상위
archdeaconry,그직
thither,그쪽에
autodafe,그처형
inunction,그치료법
perpetually,그칠사이 없이
afteryears,그후의 세월
extremum,극값
codeclination,극거리
aurora,극광
auroral,극광의
resound,극구 칭찬하다
trowel,극구 칭찬하다
pogo,극궤도 관측 위성
selfdenying,극기심 있는
southernmost,극남의
maximization,극대화
consumedly,극도로
hardcore,극도로 노골적인
overinflation,극도로 부풀리기
frantically,극도로 흥분하여
consummate,극도의
unmeasurable,극도의
simplism,극도의 단순화
revulsion,극도의 불쾌감
heebiejeebies,극도의 신경 과민
cafard,극도의 우울
parsimony,극도의 절약
feaf,극동 공군
fen,극동 방송망
paradise,극락
elysium,극락
imperceptibility,극미
micromesh,극미 그물코의
animalculism,극미 동물설
