ability,능력
able,기능을 나타내는 형용사를 만듦
abroad,대외
accept,감수하다
achieve,달성하다
act,극의 막
active,민활하다
actually,막상
advantage,강점
adventure,모험
advertise,공고하다
advertisement,광고
advertising,광고업
affect,영향하다
against,겨루다
airline,직행로
alive,살아서
although,설렵
among,에 둘러싸여
amount,결같다-합계
ancient,고래의
ankle,발목
anybody,누구도
anyway,어떻게 해서든
anywhere,어디에나
appear,나타나다
appearance,곡두
apply,바르다
architect,건축가
architecture,건조물
argue,논쟁하다
argument,논의
arrange,마련하다
arrangement,배열
asleep,마비되어
assistant,보좌의
attack,공격
attention,보살핌
attractive,관심을 끄는
audience,과객
author,작가
available,가용
average,보통의
avoid,꺼리다
award,수여하다
awful,두려운
background,바탕색
badly,나쁘게
bar,가로장
based,근거가 있는
beat,면하다-연거푸 치다
behave,올바르게 행동하다
belong,에속하다
benefit,은전
billion,10억의
bin,큰상자
biology,생물학
birth,가문
biscuit,비스킷
bit,비트
blank,공백으로하다
blow,강타
boil,격분하다
brilliant,번쩍번쩍하는
broken,고장
burn,개울
businessman,기업인
camping,노숙
care,간호하다
carefully,신중히
carpet,깔개
cartoon,만화 영화
case,문제
cash,맞돈
cause,빚다
celebrate,거행하다
celebrity,명사
certain,몇개
chance,가망
character,괴짜
charity,구호
chat,담소
chef,주방장
chemistry,성격등이 잘 맞음
chip,깨다
choice,발탁
classical,고전 문학의
closed,금렵중인
clothing,의료
coach,2등
code,법전
colleague,동료
collect,가다듬다
column,꽃술대
comedy,인생극
comfortable,기분이 좋은
comment,세평
communicate,성찬을 받다
community,공동사회
compete,경쟁하다
competition,각축
complain,고소하다
completely,극단적
condition,상태
conference,상의
connect,결합하다
connected,관련하여
consider,간주하다
contain,견제하다
context,문맥
continent,극기의
continue,게속자
control,감리
cooker,요리 도구
copy,광고문
correctly,바로
count,간주하다
couple,2개의
crazy,반한
creative,독창적인
credit,대월 계정
crime,군기위반으로 처벌하다
criminal,범죄적
crowd,꽉 들어차다
crowded,분주하다
cupboard,벽장
curly,곱슬곱슬하게 하다
cycle,1군
daily,날마다
data,데이터
dead,쓸모없이된
deal,거래량
dear,귀여운 사람
decision,원심
definitely,단연
degree,계급
dentist,치과의사
department,국
depend,나름이다
desert,불모 시대
designer,도안자
destroy,멸하다
detective,탐정의
develop,개척하다
device,계략
diary,일기장
differently,같지 않게
digital,계수형인
direct,똑바른
direction,방면
director,중역
disagree,맞지 않다
disappear,소실하다
disaster,난민
discover,찾다
discovery,발견
discussion,논의
distance,거리
divorced,남남
document,기록문헌
double,2배가되다
downstairs,아래층
drama,극적사건
drawing,달여내기
driving,운전
drug,마취시키다
earn,감사 따위를 받을 만하다
education,교육
effect,결과를 가져오다
either,어느것인가
electricity,전기
employ,고용
employee,고용인
employer,고용주
ending,결말
engine,기관차
engineer,공학가
enormous,거창하다
environment,둘레
equipment,설비
error,과실
essay,소론
everyday,만날
everywhere,곳곳
evidence,증
exact,꼼꼼한
exactly,그렇소
excellent,우량
except,외
exist,실재하다
expect,라고 생각하다
experience,경로
expert,감정인
explanation,변명
express,급행열차
expression,표출
extreme,과격한
extremely,가뜩
factor,대리상
fail,게을리하다
fair,가망이 있는
fan,부채꼴로 펼치다
farming,농사
fashion,유행
fear,경외
feature,인기 거리로 내세우다
feed,공급재료
female,여성
fiction,가설
field,벌판
figure,도면
film,피막
final,결정적인
fishing,고기잡이
fit,에 적합하다
flat,공기가빠진
flying,공중에 뜨는
focus,병소
following,문하
foreign,이질의
formal,정식 무도회
fortunately,다행히
forward,급진적인
fun,응
furniture,가구
further,그이상의
future,미래
gallery,노대
gap,산이 끊어진 데
general,개괄적인
goal,결승점
god,신
golf,골프
government,경륜
guest,빈객
guide,가이드
gun,소총
guy,버팀밧줄
hall,교사
headache,두통
heat,가열
height,고도
himself,그자신
his,그의
hockey,하키
human,인간에게 있기 쉬운
hurt,다치다
ideal,관념적인
illness,투병
image,이미지
immediately,냉큼
increase,강해지다
incredible,굉장한
independent,남에게 의존하지 않는
individual,개별의 일개의
industry,경영자측
informal,탁 터넣은
injury,명예훼손
instead,의 대신에
instruction,소송위임장
instructor,가르치는 사람
instrument,계기
intelligent,슬기롭다
international,국제
introduction,끼워넣음
invent,날조하다
invention,꾸며낸 일
invitation,권유
involve,말려들게하다
item,1항
itself,그것 자체
jam,곤경
jazz,법석 떨다
journalist,신문업자
kid,새끼염소
knock,두드리다
knowledge,조예
lab,노동 자문위원회
lady,부인
laptop,무릎에 얹어 놓을 크기의 퍼스널 컴퓨터
last,견뎌내다
later,나중에
laughter,웃음
law,발효
lawyer,법률가
lazy,게으르다
leader,굴지
learning,박식
least,가장  않다
less,덜
level,낮추다
lifestyle,고도화
lift,걷힘
link,고리
listener,경청자
lorry,화물 자동차
lost,길잃은
lovely,멋진
major,큰쪽의
male,나쁜의 뜻
manage,다루다
manager,교섭 위원
manner,매너
marry,결혼하다 결혼하다
material,물적 증거
mathematics,수학
matter,물질
may,5월
media,미디어
medical,개업의
memory,기억력
mention,언급하다
metal,금속
method,방법
might,권불십년
mind,거두다
mine,내
missing,없어진
mobile,자유로 움직이는
mostly,다분히
motorcycle,애마
movement,나도는 상황
musical,음악이 따르는
myself,나 자신
national,국립의
neither,그것은 관계없는 일이다
network,네트워크
normal,규격대로의
normally,보통은
notice,고지
novel,새롭다
nowhere,별볼일 없는
nut,견과
offer,드리다
officer,간사
onto,의 위에
option,선택권
ordinary,보통으로
organization,결단
organize,결성
original,독창적
ourselves,우리자신
oven,화덕
own,모조리자백하다
owner,임자
pack,꾸러미
painter,칠장이
palace,궁전
parking,주차
particular,특수한
passenger,탑승객
past,수상쩍은
pattern,규범
penny,티끌 모아 태산
per,매우의 뜻
perform,실행하다
permission,용납
personality,사람됨
petrol,가솔린
photograph,찰영하다
physical,물리
physics,물리학
planet,운성
platform,강령
pleased,느긋하다
pollution,불결
pop,부풀게 하다
population,모집단
position,신임
possession,소유
possibility,가능
poster,사기꾼
predict,예보
president,사회자
prevent,예방하다
print,자국
printer,인서기
prison,감옥
prize,고맙게 여기다
process,조사 분석하다
produce,발부
professional,지적 직업에 종사하는
professor,지휘자
profile,인물단평
program,차례표
progress,경위
promise,가망
pronounce,발음하다
protect,보호하다
provide,공급하다
pub,목로술집
public,공공적
publish,공포하다
purpose,목적
quality,고하
quantity,미지수
race,북이 왔다갔다 하는 길
railway,경편궤도
raise,가격 인상
